segment,orig_month_back,orig_date,seasoning0,income,score,ltv0,limit,util0,ead0,tenor_m,secured,collateral_type,pit_pd_base,ttc_pd,shock_pd,shock_lgd,shock_ead,stage_ifrs9,ECL_12m_EIR_t,ECL_life_EIR_t,ECL_stage_EIR_t,interest_gross_12m,interest_stage3_12m,vintage
Mortgage,22,2023-03-13,22,28323.210819615677,723.9764061184071,0.7082969137893222,716037.6349406047,0.6599438742132253,472544.6508851778,57,1,property,0.022,0.018,0.23542427980192324,-0.054621085800080404,-0.20331077525678926,Stage3,0.0,28910.410354931428,28910.410354931428,93749.4834166844,93749.4834166844,18
Mortgage,10,2024-03-07,10,26698.642038863632,738.7008170061689,0.6320228305507628,1899417.8997776166,0.9478031369014394,1800274.2436959688,56,1,property,0.022,0.018,-0.11548394534306954,0.24318011690794755,0.044830429951970965,Stage3,0.0,44766.359949836566,44766.359949836566,356454.3002518019,356454.3002518019,6
Mortgage,10,2024-03-07,10,21873.474743539016,798.6299966112522,0.6340470425238893,409216.2642683249,0.8318179338692463,340393.4274493695,42,1,property,0.022,0.018,2.3357597003446666,-1.401815237233066,0.9305256481511494,Stage2,0.0,0.0,0.0,64840.79678974577,64840.79678974577,6
Mortgage,23,2023-02-11,23,39042.41829237101,762.6598447621292,0.455244186199626,1677912.0585115894,0.8158571955532262,1368936.626442206,88,1,property,0.022,0.018,0.47411639517947496,0.5923786457575173,0.3471326270414199,Stage3,247549.90543492662,247549.90543492662,247549.90543492662,282992.2439834837,192700.1212853895,18
Mortgage,52,2020-09-24,52,24076.49022000794,696.7615852449165,0.7352998170951923,2184877.8891866663,0.7606007540863208,1661819.7701019072,122,1,property,0.022,0.018,1.0746380818561148,-0.9394963858798353,0.485789309100803,Stage3,0.0,125158.76446480033,125158.76446480033,348982.15172140044,348982.15172140044,48
Mortgage,35,2022-02-16,35,22866.392860968856,796.0852597256411,0.544282973847841,1363457.2415113533,0.9197718448969009,1254069.5824629369,48,1,property,0.022,0.018,-0.6630258519240536,-0.19148129493369012,-1.1169924373105133,Stage2,0.0,0.0,0.0,243609.686976311,243609.686976311,30
Mortgage,39,2021-10-19,39,47936.838512508344,760.2866234300877,0.600944237234976,2429554.5589058083,0.7712055456178444,1873685.9492092752,34,1,property,0.022,0.018,-0.162137724331366,-0.6181488963506343,-0.29780281558608845,Stage2,0.0,0.0,0.0,343509.0906883671,343509.0906883671,36
Mortgage,23,2023-02-11,23,27817.19779378468,700.9399735946481,0.6462086780767221,2212015.4838985372,0.8027128244588265,1775613.1968268526,51,1,property,0.022,0.018,-1.2415291737416696,-1.1170386122669804,-1.0371761961663841,Stage3,0.0,334005.38744685584,334005.38744685584,356822.50814726605,327134.58251633035,18
Mortgage,2,2024-11-02,2,21936.325162190387,747.9307161351585,0.523885431625849,1339458.8988094572,0.9361014503287595,1253869.4178312959,119,1,property,0.022,0.018,0.17388406217653513,-0.009214636644174197,-0.014441061160565302,Stage3,0.0,65594.34908360375,65594.34908360375,262993.7973841066,262993.7973841066,0
Mortgage,21,2023-04-12,21,21006.501259404282,768.871064481824,0.7671229651833813,1003956.7457531627,0.819813764853346,823057.5594858137,53,0,none,0.022,0.018,0.02730099368430085,0.86517668329394,-0.6745301139976106,Stage3,0.0,230521.86934052137,230521.86934052137,161920.7467988437,150023.34425627632,18
Mortgage,52,2020-09-24,52,53259.08141170078,687.4576538214733,0.49036076333711154,1042179.1015716598,0.9973910501812743,1039460.1085935347,56,1,none,0.022,0.018,0.8569842453704751,0.5750330642932233,1.2535424142640355,Stage3,449276.9472813625,449276.9472813625,449276.9472813625,205813.10150151985,174975.78494657832,48
Mortgage,1,2024-12-02,1,34726.8926797945,790.1168595909411,0.6036614531640115,2811932.877224202,0.7095876580448502,1995312.8649288388,26,1,vehicle,0.022,0.018,1.0275675573241752,-0.2608352284301339,-0.3404753831599603,Stage3,0.0,0.0,0.0,342395.6876217888,342395.6876217888,0
Mortgage,23,2023-02-11,23,30708.084753221174,669.384666635244,0.6109398207222916,462241.18281900825,0.987022678854504,456242.53054289205,116,1,property,0.022,0.018,0.0939883670920425,-1.2758469097365686,-0.13246335067439632,Stage3,0.0,38317.955109761984,38317.955109761984,95572.89183285454,95572.89183285454,18
Mortgage,43,2021-06-21,43,39027.19447910384,662.0504596107513,0.770254135634427,401195.5105281543,0.8730272843685195,350254.6270572363,46,1,property,0.022,0.018,0.11797595472123415,0.12226891030227971,-0.0578547671491832,Stage3,80344.58967762771,80344.58967762771,80344.58967762771,69778.50514595829,30679.710851494958,42
Mortgage,29,2022-08-15,29,37497.70061814083,694.2954949661168,0.6083889047822787,715894.7888289847,0.8739099606430499,625627.5867301025,61,1,property,0.022,0.018,-1.2279807955588014,-0.43009954836041514,-1.0492514032327225,Stage3,65091.75837045668,65091.75837045668,65091.75837045668,126078.38291769865,96346.6483564358,24
Mortgage,37,2021-12-18,37,29076.31989843112,716.3291149757385,0.5555557640090896,1874632.9857690076,0.9404467725014134,1762992.5410911513,81,1,property,0.022,0.018,-0.22539052582313807,0.7813254151874207,-0.4883973404517193,Stage2,0.0,0.0,0.0,361193.09685604967,361193.09685604967,36
Mortgage,1,2024-12-02,1,31566.549800544562,815.8136019903642,0.736262466415618,1082333.6655681664,0.8232045258752837,890981.9720029003,96,1,property,0.022,0.018,-1.2346841866290206,-1.5887922925737978,0.12970597048062452,Stage3,153061.53841473418,153061.53841473418,153061.53841473418,205870.97172233893,114032.51682506947,0
Mortgage,59,2020-02-27,59,49360.53348059032,665.100661585916,0.5929162980828194,1315634.108695514,0.8572488918307559,1127825.8817339737,92,1,property,0.022,0.018,-1.3604498065886754,-0.10280302163276532,0.6356055733366858,Stage3,0.0,172573.30590557118,172573.30590557118,233125.32786171485,233125.32786171485,54
Mortgage,20,2023-05-12,20,51349.20571315375,751.4343206969809,0.652207446745464,2901487.339456577,0.9610266946180936,2788406.787314201,35,1,property,0.022,0.018,0.4384383387532749,-0.8142007648933861,0.8183431650556938,Stage3,0.0,226374.22148146844,226374.22148146844,517403.6005337478,517403.6005337478,18
Mortgage,32,2022-05-17,32,25538.963953484916,695.0512844751984,0.617887121744426,2790599.081810148,0.8475110453557034,2365063.5449935845,89,1,none,0.022,0.018,0.4496728042862872,0.27757120219009457,-1.1637094223728552,Stage3,1185962.653520759,1185962.653520759,1185962.653520759,492721.5718736636,252766.16637118938,30
Mortgage,11,2024-02-06,11,62159.75608807139,644.4179826279594,0.6665061781569885,1512712.1213907935,0.7582749183493313,1147051.6603336476,29,1,property,0.022,0.018,-0.6408676592301227,-0.4543281826097775,0.13722472189771673,Stage3,0.0,0.0,0.0,202782.3470946984,202782.3470946984,6
Mortgage,57,2020-04-27,57,84440.64189453465,731.1418228019569,0.5425323919103819,1519927.8135299042,0.804311315193068,1222495.1386987614,23,1,property,0.022,0.018,-0.26858442827568585,-1.7570954808032175,-1.6700794265505434,Stage3,113660.40247152314,113660.40247152314,113660.40247152314,218064.50598269448,119712.83645707619,54
Mortgage,21,2023-04-12,21,32132.812308056567,659.534161532588,0.5074772521480888,518704.21723790513,0.8918089879328471,462585.08301143587,60,1,property,0.022,0.018,-2.0301746774419094,0.1347235426770095,-0.43540287064061706,Stage2,0.0,0.0,0.0,92913.28736950012,92913.28736950012,18
Mortgage,43,2021-06-21,43,31810.932279995013,749.2120665035211,0.5632703553481181,2034491.331654134,0.9280041500156568,1888016.3989459164,120,1,property,0.022,0.018,0.5080564607490484,0.16163731449411348,0.28549042788885187,Stage3,0.0,123682.44413477504,123682.44413477504,396166.1300981473,396166.1300981473,42
Mortgage,24,2023-01-12,24,24903.03447006949,751.6335828223191,0.7878504328085685,1823020.7689792656,0.6906701715735176,1259106.0672929953,65,1,property,0.022,0.018,-0.7637863142602752,-1.017931449592797,1.2412952731131892,Stage3,0.0,69725.37619187751,69725.37619187751,253198.36071970084,253198.36071970084,24
Mortgage,48,2021-01-22,48,27424.527256072728,699.892251087771,0.6696588310933476,1334939.848450381,0.9261414396880258,1236343.113140751,108,1,none,0.022,0.018,2.9022281569260855,3.1295198656302445,0.19200693667401433,Stage3,878802.1404926955,878802.1404926955,878802.1404926955,281076.82946828275,45120.74632537039,48
Mortgage,26,2022-11-13,26,41600.11205731856,825.0072513518778,0.7949020570536476,2469399.1803220464,0.8336657995815722,2058653.6421492577,88,1,property,0.022,0.018,-0.15043624103136477,-1.1576218966685015,1.588812074664973,Stage3,0.0,194835.76773711486,194835.76773711486,424271.9517670827,424271.9517670827,24
Mortgage,58,2020-03-28,58,96097.6976258242,694.0329710121937,0.5387622368320512,499633.75897202856,0.8492551900395264,424316.56292595307,29,1,property,0.022,0.018,-0.43489032008779444,0.23286170992771013,0.02486951873445463,Stage2,0.0,0.0,0.0,78427.6199273964,78427.6199273964,54
Mortgage,41,2021-08-20,41,49311.01098989923,754.4210492938934,0.6040181433865479,1251918.490832305,0.9243359307312377,1157193.243423125,143,1,property,0.022,0.018,1.0869918401883676,0.6047134726928928,2.3697354857261472,Stage3,347661.9885805541,347661.9885805541,347661.9885805541,251445.0529987361,21215.20946275729,36
Mortgage,27,2022-10-14,27,31587.028266532874,722.9606778302636,0.6320904466305408,1683366.3787711905,0.9230766137276294,1553876.1365790525,77,1,property,0.022,0.018,0.7586102614369256,0.8231277686344658,1.1357087437549502,Stage3,205166.64056488345,205166.64056488345,205166.64056488345,327608.8854620836,84338.671886692,24
Mortgage,59,2020-02-27,59,30382.27242297655,701.8456701603952,0.6262996351659976,2157776.892290213,0.8580780503787057,1851540.9888886085,31,1,property,0.022,0.018,1.2590784272823639,2.125322492468943,-0.33806942778794696,Stage3,512796.0021964531,512796.0021964531,512796.0021964531,387828.9982154206,162329.80338331085,54
Mortgage,15,2023-10-09,15,27479.075061878957,681.6306613875876,0.5446279208334527,2438496.2978340434,0.8371633507469001,2041419.7314786585,36,1,property,0.022,0.018,0.35271436287526936,0.6287649927651282,-0.5302056316772993,Stage3,465390.78347325174,465390.78347325174,465390.78347325174,426656.72387903964,37426.02841044207,12
Mortgage,14,2023-11-08,14,56678.88470613369,774.1512647959086,0.8455071202718618,2489367.535109015,0.6908812484989424,1719857.3506288512,22,1,property,0.022,0.018,-0.37795558268181745,2.6116588994358128,-1.2162954589955794,Stage3,270792.487095616,270792.487095616,270792.487095616,310802.7926493567,117114.09578091702,12
Mortgage,46,2021-03-23,46,32788.788511581435,698.3469336177392,0.6165068179098581,2644540.231903838,0.7677971577062143,2030470.4734954995,64,1,property,0.022,0.018,1.5557941654835656,-0.7687868817778613,0.05917761414741995,Stage3,0.0,418767.0405849303,418767.0405849303,430918.26557042525,390985.74813905294,42
Mortgage,50,2020-11-23,50,43949.34794888676,771.9722881656614,0.7028596987435176,2772306.7013373175,0.8993231251066669,2493199.5264008315,28,1,property,0.022,0.018,-0.27553112902910804,-0.6091461524591202,-0.3022047351502069,Stage3,0.0,354880.4864013303,354880.4864013303,449295.7279481803,416395.6676603425,48
Mortgage,43,2021-06-21,43,32878.238410844475,760.7852966914505,0.6753778490315103,2400395.403211406,0.7958064343732867,1910250.1069156968,118,1,property,0.022,0.018,1.8543810225892985,0.31209323309658094,-1.3127471188580166,Stage2,0.0,0.0,0.0,400499.44549266685,400499.44549266685,42
Mortgage,54,2020-07-26,54,88395.6337066191,723.9548427320924,0.5279385338756903,1204081.5855082779,0.857492866807675,1032491.3706278239,111,1,property,0.022,0.018,-0.3308229583017035,0.01674171914930244,-0.6230197678622241,Stage3,0.0,118879.670926806,118879.670926806,215790.6964612152,215790.6964612152,54
Mortgage,51,2020-10-24,51,29017.108592628574,695.8496777841035,0.48934176042491473,2099669.1080581583,0.9322745536009636,1957468.080424653,47,1,property,0.022,0.018,-0.9143642065422448,-0.23125660629790698,-2.804711741226693,Stage3,0.0,185398.68519020616,185398.68519020616,379153.05644747085,379153.05644747085,48
Mortgage,56,2020-05-27,56,27026.97269025309,758.5403350701835,0.5534421399818433,444822.7929930692,0.9618635567466278,427858.83379028254,69,1,property,0.022,0.018,-1.1124991699557456,-1.8385183737407456,-1.1327987343168289,Stage3,0.0,15431.391079367992,15431.391079367992,86515.57300906446,86515.57300906446,54
Mortgage,2,2024-11-02,2,29663.642996397222,712.0441470300328,0.6852803415926467,2904130.704602476,0.849489063725102,2467027.2731880783,27,1,property,0.022,0.018,0.596142541082654,0.2330349999521409,-0.003089207043569163,Stage2,0.0,0.0,0.0,427934.3462337783,427934.3462337783,0
Mortgage,36,2022-01-17,36,43394.33382817026,728.8214815547159,0.5866679128015669,2470796.1674236543,0.8602264960647708,2125444.329593115,29,1,property,0.022,0.018,1.4078728340252458,1.3545949748113824,0.5918267319501704,Stage3,0.0,239984.7951771832,239984.7951771832,376457.9405702719,376457.9405702719,36
Mortgage,50,2020-11-23,50,66341.55285287328,719.5378980609289,0.7572590265919752,776472.8978250851,0.7435913045825674,577378.4950667616,130,1,property,0.022,0.018,-0.8312153251429502,-1.9179986095074866,0.7822787689018125,Stage3,126512.60625621268,126512.60625621268,126512.60625621268,123037.79076792636,82384.60076895756,48
Mortgage,6,2024-07-05,6,43433.676853536344,695.8081567833475,0.612274377133152,2711997.506011851,0.679110881571825,1841747.017128299,112,1,property,0.022,0.018,1.0204949438963664,2.845862865958302,1.2194142371267882,Stage3,579737.0844858701,579737.0844858701,579737.0844858701,386020.2194008098,261605.5072377434,6
Mortgage,20,2023-05-12,20,48862.32006372721,678.4400953383198,0.49587526714584174,911432.3458932381,0.8482498868456506,773122.384271405,94,1,none,0.022,0.018,-1.7171347437301665,1.2754065928832152,-2.513007719246882,Stage3,545663.1037826472,545663.1037826472,545663.1037826472,195653.04747936086,60076.55045207999,18
Mortgage,8,2024-05-06,8,46091.49811345642,689.9749222127028,0.4929021350145435,2253103.7837042757,0.7438597305832899,1675993.1735224538,78,1,property,0.022,0.018,0.5052717958006893,-0.7280211907253343,0.28993470126946164,Stage2,0.0,0.0,0.0,342381.4625910156,342381.4625910156,6
Mortgage,38,2021-11-18,38,18046.24690669512,719.6595774913098,0.355309361238665,214789.68580279083,0.9010811458007096,193542.93618935317,87,1,property,0.022,0.018,-0.4226722784214903,-0.25107047996504356,-0.3505345694635322,Stage3,0.0,27610.975514923397,27610.975514923397,39856.341859458655,39856.341859458655,36
Mortgage,17,2023-08-10,17,36070.18951651431,781.6528499465836,0.6080991948430499,1661121.6199481145,0.9226912153484399,1532702.326351495,55,1,property,0.022,0.018,-0.27459537178453347,-0.04253723273371113,0.5403715078103952,Stage3,0.0,41689.905927258296,41689.905927258296,302850.6263364899,302850.6263364899,12
Mortgage,3,2024-10-03,3,31787.293986712873,753.2171695267343,0.7523235160598509,2159365.5916013317,0.8382216687788239,1810027.0296956406,104,1,property,0.022,0.018,0.026030930486965354,-0.5319278705175148,1.099907781765093,Stage3,0.0,234131.6522889599,234131.6522889599,376942.5222036066,376942.5222036066,0
Mortgage,24,2023-01-12,24,34224.01459033236,771.2237639096159,0.6498507258595321,1658932.379052051,0.8667078298408696,1437809.682100954,60,1,none,0.022,0.018,-1.6838758100149034,-1.6788797808647165,-1.2396960022913708,Stage3,783123.6185544181,783123.6185544181,783123.6185544181,302914.81946635357,52272.91132383977,24
Mortgage,59,2020-02-27,59,25703.994784383754,826.3205496642615,0.6236289562272648,2248414.7485003774,0.8456749505531539,1901428.0312610385,87,1,property,0.022,0.018,-0.45434817694503016,1.6949056823109556,-0.3174751082591823,Stage3,567520.8237220078,567520.8237220078,567520.8237220078,395614.9485197385,203076.935664333,54
Mortgage,13,2023-12-08,13,52296.7383204557,636.8369423593746,0.7091272307030865,1680866.0563351032,0.8607304490224117,1446772.5954158437,54,1,property,0.022,0.018,0.19802912854311033,-0.23717286527368206,-2.5681947718054006,Stage3,0.0,46600.633635703765,46600.633635703765,285259.8796621805,285259.8796621805,12
Mortgage,49,2020-12-23,49,37062.421406693305,765.197939357465,0.7011946601134758,1855593.230674777,0.9138508502879374,1695735.4516406858,117,1,property,0.022,0.018,-0.562417470011565,1.097437503811777,-0.257965194624104,Stage2,0.0,0.0,0.0,408398.0786929915,408398.0786929915,48
Mortgage,57,2020-04-27,57,36968.49775297837,751.7100615037047,0.6884592379502694,2128793.0546557726,0.934866597274187,1990137.5193069645,105,1,property,0.022,0.018,-0.5686472431640177,0.21205516052819132,0.36571976729138983,Stage3,734724.2452971621,734724.2452971621,734724.2452971621,485895.36726226244,113142.7050335713,54
Mortgage,8,2024-05-06,8,34137.87246322961,753.72531728531,0.7587348005254253,2989587.559659996,0.8677725963862306,2594282.15877013,117,1,property,0.022,0.018,0.620715857041657,-0.05355346357184269,-0.663458760872706,Stage3,0.0,371336.59552828624,371336.59552828624,543681.028273292,543681.028273292,6
Mortgage,25,2022-12-13,25,27880.812126348595,776.1057161512185,0.8715854852935462,240962.062740557,0.8557943318256201,206213.96747837815,105,1,property,0.022,0.018,0.23268512331475613,-0.48290928526720855,0.8793196904475459,Stage3,39035.90261628525,39035.90261628525,39035.90261628525,44967.2028121521,0.0,24
Mortgage,52,2020-09-24,52,17180.71331549362,705.4892361001174,0.6254760372821471,1831954.4403336407,0.7226741872838526,1323906.1863091588,117,1,property,0.022,0.018,0.628619647990547,0.015391809857359126,0.5893579757856843,Stage3,0.0,402708.24646919,402708.24646919,277449.64990668674,277449.64990668674,48
Mortgage,1,2024-12-02,1,40705.04370352051,747.5602967588118,0.518112094857524,2435631.377800649,0.9112637532801322,2219502.590941479,63,1,property,0.022,0.018,-0.7742187523270876,-0.19860832698234834,0.012896544699540487,Stage3,344339.7449902346,344339.7449902346,344339.7449902346,444974.47105488053,377375.1045081951,0
Mortgage,19,2023-06-11,19,38089.9569487251,836.6622365895008,0.8089085709219056,1268695.231146292,0.8533296472436951,1082615.2540538236,127,1,property,0.022,0.018,-0.5008016806677912,-0.2890309116760314,0.9435848674043239,Stage3,193533.7733050087,193533.7733050087,193533.7733050087,228723.95288026024,135627.63321618736,18
Mortgage,27,2022-10-14,27,45450.61119775147,758.4461766731054,0.5083547622886004,1648670.9360269406,0.9592855713667001,1581546.240862276,110,0,none,0.022,0.018,0.18031318582616657,-0.12862240125508118,0.2759023148557882,Stage3,0.0,497961.3213220018,497961.3213220018,330383.55875627545,330383.55875627545,24
Mortgage,46,2021-03-23,46,37435.39075455067,756.2462784648069,0.564405319618835,1868779.2812942339,0.8908278806306901,1664760.6865218866,128,1,property,0.022,0.018,-0.48218263951126394,-0.13175595779988467,-0.40145923639274955,Stage3,695269.0231040387,695269.0231040387,695269.0231040387,364918.3826285012,179518.87875525386,42
Mortgage,59,2020-02-27,59,23079.45895478367,709.9639652398022,0.7866271017657578,1523238.7353733052,0.9149926235113445,1393752.206713323,114,1,property,0.022,0.018,-0.5068068965823773,0.5026094666393582,0.220143401976365,Stage3,0.0,101165.74500255467,101165.74500255467,291701.2361838061,268636.48727624933,54
Mortgage,6,2024-07-05,6,26008.675224187533,806.8425727047071,0.8171858812904439,1006321.069998616,0.9452718324865164,951246.9619073836,142,1,property,0.022,0.018,0.11842514196969163,-0.6844617439819114,-0.3769992292163077,Stage3,199229.2914701598,199229.2914701598,199229.2914701598,201482.20225080856,136053.052471387,6
Mortgage,43,2021-06-21,43,63740.18144922186,719.6573503397522,0.5665128832519625,2942107.979317648,0.8844419583473282,2602123.742897001,143,1,property,0.022,0.018,-0.5529824120451406,0.22173455158804084,0.6765658911817255,Stage3,615114.6098434072,615114.6098434072,615114.6098434072,589033.3577260991,335314.6709940324,42
Mortgage,7,2024-06-05,7,41520.94127862124,755.6029695677356,0.6243253797854157,552087.1724780186,0.7739982951917064,427314.53029519593,23,1,property,0.022,0.018,-1.9152994568282418,0.11601765948701093,-0.13316027510503992,Stage3,97457.93069592954,97457.93069592954,97457.93069592954,80477.56987226188,22434.012840497788,6
Mortgage,46,2021-03-23,46,50886.39273436628,748.4980104111019,0.7532516626501606,2245391.485459561,0.9431559574582277,2117754.3563371645,96,1,property,0.022,0.018,1.228201999486606,-0.014182425315198683,0.3614007190874701,Stage2,0.0,0.0,0.0,438932.4555397765,438932.4555397765,42
Mortgage,34,2022-03-18,34,53420.23496905506,715.7045256926385,0.7612339247442584,2950728.126510237,0.8229580455777288,2428325.4520240976,77,1,property,0.022,0.018,-0.179473048073469,-0.060037911083303204,0.4488157929243097,Stage3,0.0,359664.1331375928,359664.1331375928,495570.102117023,495570.102117023,30
Mortgage,13,2023-12-08,13,24024.618887341472,686.5083527262888,0.7056029629944987,152465.028297931,0.8443463754645035,128733.29402845101,58,1,property,0.022,0.018,-0.20541943129573542,-0.48396731833675977,0.8064848595074853,Stage3,0.0,11137.096150480322,11137.096150480322,25588.56528670789,25588.56528670789,12
Mortgage,16,2023-09-09,16,31476.230605624423,732.2945321891083,0.8462277693340453,2095358.797035101,0.8679243824421471,1818612.9899114103,29,1,property,0.022,0.018,0.017380298212164788,-0.5879535018614935,-0.5223641688832995,Stage3,0.0,265416.0062080175,265416.0062080175,324148.2803125312,324148.2803125312,12
Mortgage,35,2022-02-16,35,48340.528194235696,737.9914906499905,0.8120305001813797,703318.7921613954,0.9370721066458195,659060.4222142721,110,1,vehicle,0.022,0.018,0.06929580420650461,0.6994887098645342,2.053767639906574,Stage3,160718.13875114775,160718.13875114775,160718.13875114775,137787.96869932333,104754.32857671805,30
Mortgage,49,2020-12-23,49,25783.119340826175,633.3526421494789,0.8115946613042792,2550700.4250112027,0.8719400192991138,2224057.777810526,90,1,property,0.022,0.018,0.8859359031604535,1.4436853310135747,0.7955388597210299,Stage3,480081.09901793743,480081.09901793743,480081.09901793743,463636.9135315878,237774.26691985576,48
Mortgage,39,2021-10-19,39,30593.325568496755,782.7284653181357,0.5733746140202405,2475573.683608189,0.8640653421069366,2139057.4218378393,117,1,property,0.022,0.018,0.4486780241392275,-0.39770877160745244,-0.12436019407541561,Stage3,529850.8536433211,529850.8536433211,529850.8536433211,450308.46759724163,267412.911313377,36
Mortgage,3,2024-10-03,3,29198.30416975391,721.3026005626657,0.4329023183789864,1186854.176209577,0.9812459747849352,1164595.8830623375,87,1,property,0.022,0.018,0.5861127031331257,-0.7617459832950628,0.30142885435318956,Stage3,0.0,99592.55877952746,99592.55877952746,240384.10080477115,240384.10080477115,0
Mortgage,1,2024-12-02,1,26635.243709390954,830.9455015721289,0.5458444489172884,715248.3670208271,0.7568688328525007,541349.1967467105,61,1,property,0.022,0.018,-1.0311928472958014,-0.02728827548545027,-0.6257118559224948,Stage3,80844.24316602595,80844.24316602595,80844.24316602595,108675.85124690215,74766.33906179569,0
Mortgage,5,2024-08-04,5,34383.68767320167,853.4092980980488,0.8307378360544639,2640128.6225179494,0.7024814728416164,1854641.443237717,54,0,none,0.022,0.018,0.4447077880254773,1.0218080128293026,0.7748209681364642,Stage3,0.0,671309.5025796096,671309.5025796096,365679.30343083286,365679.30343083286,0
Mortgage,53,2020-08-25,53,29612.460646567062,750.0349825101106,0.3737526807675136,312374.64877962775,0.6156535468673149,192314.5604726096,127,1,property,0.022,0.018,-0.25419214432151166,-0.22678289148284764,-0.31287658731582313,Stage3,56653.34522517679,56653.34522517679,56653.34522517679,40882.1071607845,17349.01193681478,48
Mortgage,41,2021-08-20,41,30718.206153705283,651.8511519891357,0.572747370879768,2752387.6860763836,0.7830070140671064,2155138.863629741,35,1,property,0.022,0.018,-0.25015656854817714,-0.19926846703334367,-0.4058478870557736,Stage3,225089.6866212806,225089.6866212806,225089.6866212806,400919.2150722973,283548.6622540306,36
Mortgage,3,2024-10-03,3,40650.020019835094,760.4628747517207,0.41699465172338557,2880029.7816079836,0.7273256738527706,2094719.6016240744,74,1,property,0.022,0.018,0.48786259605423415,0.3604252110688905,-0.4649448952775882,Stage3,426969.68619447557,426969.68619447557,426969.68619447557,428090.38433875557,360358.7259871552,0
Mortgage,53,2020-08-25,53,55226.436539156704,675.4128168999649,0.5279373258764625,496852.8916940604,0.9102963638775419,452283.3806911453,23,1,none,0.022,0.018,-1.8848899976546722,-1.983134699329242,-0.36191371490849283,Stage3,0.0,26615.995555437206,26615.995555437206,74626.75781403897,74626.75781403897,48
Mortgage,28,2022-09-14,28,50067.290853167535,670.1553218861608,0.5052266766986605,281886.8866582631,0.6978176388674926,196705.64167557764,99,1,property,0.022,0.018,0.6641903076629035,-0.1955832373706824,1.121305312328866,Stage3,0.0,25048.409910045073,25048.409910045073,40846.52865406129,40846.52865406129,24
